t_wall,t_rel,label,q1_cmd,q2_cmd,q1,q2,dq1,dq2,tau1,tau2,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.000000,0.000000,step,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677696,0.255426,0.800509,-0.974649,-7.556049,-0.404388,-0.120720,-0.839327,0.342675,-0.246253,0.054830,-0.303727,-0.091049,0.008909,-0.076932
0.020000,0.020000,step,0.000041,0.000000,-0.006768,-0.002558,0.000177,0.000000,0.680535,0.255785,0.799839,-0.976088,-7.563788,-0.404531,-0.120240,-0.839736,0.341673,-0.246254,0.054827,-0.303727,-0.091017,0.008911,-0.077076
0.040000,0.040000,step,0.000315,0.000000,-0.006701,-0.002587,0.002150,0.000000,0.697137,0.258322,0.799165,-0.977525,-7.571528,-0.404671,-0.119769,-0.840148,0.340658,-0.246260,0.054797,-0.303728,-0.090697,0.008916,-0.078506
0.060000,0.060000,step,0.001032,0.000000,-0.006475,-0.002635,0.010946,0.000000,0.724403,0.263483,0.798486,-0.978958,-7.579269,-0.404798,-0.119330,-0.840577,0.339600,-0.246284,0.054668,-0.303732,-0.089263,0.008941,-0.084868
0.080000,0.080000,step,0.002369,0.000000,-0.005936,-0.002705,0.028741,0.000000,0.761241,0.270766,0.797800,-0.980385,-7.587013,-0.404903,-0.118955,-0.841039,0.338461,-0.246337,0.054372,-0.303742,-0.086343,0.008981,-0.097671
0.100000,0.100000,step,0.004482,0.000000,-0.004819,-0.002811,0.059843,0.000000,0.783056,0.282149,0.797105,-0.981802,-7.594754,-0.404967,-0.118701,-0.841562,0.337171,-0.246438,0.053789,-0.303763,-0.081188,0.009038,-0.119899
0.120000,0.120000,step,0.007497,0.000000,-0.002919,-0.002920,0.099520,0.000000,0.791246,0.294601,0.796396,-0.983207,-7.602495,-0.404975,-0.118613,-0.842170,0.335671,-0.246589,0.052874,-0.303798,-0.074466,0.009078,-0.147875
0.140000,0.140000,step,0.011519,0.000000,-0.000098,-0.003020,0.144729,0.000000,0.791437,0.306438,0.795671,-0.984593,-7.610237,-0.404916,-0.118723,-0.842876,0.333929,-0.246787,0.051598,-0.303849,-0.066545,0.009100,-0.179206
0.160000,0.160000,step,0.016629,0.000000,0.003740,-0.003110,0.191905,0.003506,0.787714,0.317350,0.794929,-0.985960,-7.617977,-0.404783,-0.119051,-0.843685,0.331924,-0.247027,0.049945,-0.303919,-0.057633,0.009119,-0.212447
0.180000,0.180000,step,0.022885,0.000000,0.008663,-0.003193,0.241268,0.008067,0.782190,0.327451,0.794164,-0.987302,-7.625716,-0.404569,-0.119614,-0.844600,0.329648,-0.247302,0.047898,-0.304009,-0.047705,0.009169,-0.246728
0.200000,0.200000,step,0.030327,0.000000,0.014723,-0.003269,0.292658,0.012660,0.779847,0.329241,0.793376,-0.988618,-7.633457,-0.404270,-0.120421,-0.845620,0.327096,-0.247602,0.045444,-0.304121,-0.036686,0.009296,-0.281447
0.220000,0.220000,step,0.038974,0.000000,0.021954,-0.003343,0.345340,0.017324,0.778015,0.328646,0.792561,-0.989903,-7.641197,-0.403878,-0.121484,-0.846742,0.324272,-0.247912,0.042577,-0.304257,-0.024553,0.009560,-0.316002
0.240000,0.240000,step,0.048826,0.000000,0.030376,-0.003414,0.398597,0.022084,0.775840,0.327515,0.791717,-0.991156,-7.648936,-0.403389,-0.122809,-0.847961,0.321181,-0.248218,0.039298,-0.304416,-0.011281,0.010026,-0.349826
0.260000,0.260000,step,0.059870,0.000000,0.039994,-0.003484,0.451725,0.026931,0.773305,0.325805,0.790841,-0.992373,-7.656678,-0.402796,-0.124400,-0.849270,0.317838,-0.248502,0.035613,-0.304601,0.003141,0.010774,-0.382383
0.280000,0.280000,step,0.072072,0.000000,0.050795,-0.003551,0.504015,0.031806,0.770403,0.323514,0.789930,-0.993552,-7.664419,-0.402094,-0.126258,-0.850659,0.314259,-0.248745,0.031530,-0.304812,0.018637,0.011884,-0.413183
0.300000,0.300000,step,0.085389,0.000000,0.062751,-0.003614,0.554769,0.036615,0.767242,0.320873,0.788982,-0.994690,-7.672158,-0.401277,-0.128382,-0.852118,0.310466,-0.248927,0.027069,-0.305048,0.035067,0.013439,-0.441782
