t_wall,t_rel,label,q1_cmd,q2_cmd,q1,q2,dq1,dq2,tau1,tau2,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.000000,0.000000,sine,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677696,0.255426,0.800509,-0.974649,-7.556049,-0.404388,-0.120720,-0.839327,0.342675,-0.246253,0.054830,-0.303727,-0.091049,0.008909,-0.076932
0.020000,0.020000,sine,0.000002,0.000000,-0.006776,-0.002554,-0.000016,0.000000,0.677809,0.255440,0.799839,-0.976089,-7.563790,-0.404532,-0.120238,-0.839736,0.341673,-0.246253,0.054830,-0.303727,-0.091049,0.008910,-0.076936
0.040000,0.040000,sine,0.000025,0.000000,-0.006771,-0.002557,0.000100,0.000000,0.679434,0.255656,0.799166,-0.977526,-7.571530,-0.404674,-0.119756,-0.840143,0.340672,-0.246254,0.054828,-0.303727,-0.091031,0.008911,-0.077018
0.060000,0.060000,sine,0.000124,0.000000,-0.006746,-0.002568,0.000573,0.000000,0.685905,0.256630,0.798489,-0.978961,-7.579270,-0.404815,-0.119278,-0.840551,0.339664,-0.246255,0.054819,-0.303727,-0.090955,0.008912,-0.077359
0.080000,0.080000,sine,0.000380,0.000000,-0.006665,-0.002595,0.003010,0.000000,0.697924,0.259171,0.797809,-0.980394,-7.587011,-0.404952,-0.118810,-0.840963,0.338644,-0.246262,0.054781,-0.303729,-0.090558,0.008917,-0.079123
0.100000,0.100000,sine,0.000893,0.000000,-0.006461,-0.002630,0.009765,0.000000,0.712003,0.263040,0.797123,-0.981825,-7.594750,-0.405080,-0.118367,-0.841387,0.337590,-0.246282,0.054672,-0.303732,-0.089454,0.008932,-0.083994
0.120000,0.120000,sine,0.001779,0.000000,-0.006098,-0.002659,0.018169,0.000000,0.742590,0.266296,0.796432,-0.983250,-7.602493,-0.405195,-0.117959,-0.841829,0.336492,-0.246313,0.054495,-0.303739,-0.088064,0.008939,-0.089982
0.140000,0.140000,sine,0.003154,0.000000,-0.005388,-0.002727,0.037425,0.000000,0.762268,0.273324,0.795734,-0.984670,-7.610233,-0.405287,-0.117621,-0.842305,0.335306,-0.246376,0.054130,-0.303752,-0.084875,0.008970,-0.103759
0.160000,0.160000,sine,0.005132,0.000000,-0.004169,-0.002804,0.063628,0.000000,0.770549,0.281904,0.795026,-0.986080,-7.617973,-0.405343,-0.117390,-0.842835,0.333984,-0.246475,0.053541,-0.303774,-0.080469,0.008993,-0.122313
0.180000,0.180000,sine,0.007812,0.000000,-0.002325,-0.002876,0.094625,0.000000,0.772443,0.290435,0.794307,-0.987478,-7.625713,-0.405353,-0.117294,-0.843432,0.332496,-0.246609,0.052702,-0.303808,-0.075126,0.008995,-0.143962
0.200000,0.200000,sine,0.011273,0.000000,0.000230,-0.002944,0.129197,0.000000,0.771041,0.298519,0.793574,-0.988862,-7.633454,-0.405313,-0.117350,-0.844101,0.330823,-0.246778,0.051592,-0.303854,-0.068961,0.008979,-0.167722
0.220000,0.220000,sine,0.015565,0.000000,0.003561,-0.003006,0.165711,0.001417,0.767597,0.306136,0.792826,-0.990229,-7.641195,-0.405217,-0.117573,-0.844847,0.328951,-0.246979,0.050198,-0.303914,-0.062056,0.008956,-0.192849
0.240000,0.240000,sine,0.020707,0.000000,0.007711,-0.003062,0.202884,0.004792,0.762169,0.313192,0.792060,-0.991577,-7.648934,-0.405060,-0.117973,-0.845672,0.326875,-0.247205,0.048514,-0.303990,-0.054492,0.008943,-0.218541
0.260000,0.260000,sine,0.026678,0.000000,0.012698,-0.003111,0.240403,0.008188,0.754691,0.318784,0.791276,-0.992903,-7.656675,-0.404841,-0.118556,-0.846573,0.324597,-0.247449,0.046541,-0.304082,-0.046353,0.008960,-0.243810
0.280000,0.280000,sine,0.033415,0.000000,0.018506,-0.003148,0.276765,0.011493,0.747962,0.316420,0.790470,-0.994206,-7.664414,-0.404558,-0.119318,-0.847543,0.322127,-0.247701,0.044296,-0.304190,-0.037810,0.009028,-0.267517
0.300000,0.300000,sine,0.040815,0.000000,0.025082,-0.003170,0.310156,0.014583,0.738120,0.312610,0.789643,-0.995485,-7.672155,-0.404213,-0.120253,-0.848574,0.319489,-0.247948,0.041815,-0.304314,-0.029130,0.009163,-0.288353
0.320000,0.320000,sine,0.048730,0.000000,0.032332,-0.003174,0.338707,0.017298,0.724931,0.307272,0.788794,-0.996739,-7.679894,-0.403809,-0.121342,-0.849650,0.316715,-0.248176,0.039145,-0.304452,-0.020624,0.009372,-0.305021
0.340000,0.340000,sine,0.056971,0.000000,0.040118,-0.003156,0.360547,0.019455,0.708264,0.300397,0.787923,-0.997969,-7.687635,-0.403355,-0.122560,-0.850755,0.313846,-0.248376,0.036351,-0.304603,-0.012652,0.009647,-0.316284
0.360000,0.360000,sine,0.065310,0.000000,0.048262,-0.003114,0.373865,0.020863,0.688122,0.292062,0.787030,-0.999177,-7.695376,-0.402859,-0.123871,-0.851868,0.310937,-0.248534,0.033511,-0.304763,-0.005610,0.009960,-0.321010
0.380000,0.380000,sine,0.073486,0.000000,0.056549,-0.003045,0.376964,0.021329,0.664710,0.282433,0.786117,-1.000363,-7.703117,-0.402336,-0.125234,-0.852965,0.308047,-0.248646,0.030716,-0.304931,0.000075,0.010261,-0.318205
