t_wall,t_rel,label,q1_cmd,q2_cmd,q1,q2,dq1,dq2,tau1,tau2,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.000000,0.000000,sine,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677696,0.255426,0.800509,-0.974649,-7.556049,-0.404388,-0.120720,-0.839327,0.342675,-0.246253,0.054830,-0.303727,-0.091049,0.008909,-0.076932
0.020000,0.020000,sine,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677697,0.255426,0.799839,-0.976089,-7.563790,-0.404532,-0.120238,-0.839736,0.341673,-0.246253,0.054830,-0.303727,-0.091050,0.008910,-0.076930
0.040000,0.040000,sine,0.000000,0.000000,-0.006776,-0.002554,-0.000022,0.000000,0.677717,0.255428,0.799166,-0.977526,-7.571530,-0.404675,-0.119755,-0.840143,0.340672,-0.246253,0.054830,-0.303726,-0.091051,0.008911,-0.076930
0.060000,0.060000,sine,0.000002,0.000000,-0.006776,-0.002554,-0.000016,-0.000000,0.677802,0.255441,0.798489,-0.978962,-7.579270,-0.404817,-0.119273,-0.840549,0.339669,-0.246254,0.054830,-0.303726,-0.091051,0.008912,-0.076933
0.080000,0.080000,sine,0.000005,0.000000,-0.006775,-0.002555,0.000000,-0.000000,0.678016,0.255477,0.797809,-0.980396,-7.587010,-0.404960,-0.118790,-0.840953,0.338666,-0.246254,0.054829,-0.303726,-0.091050,0.008912,-0.076942
0.100000,0.100000,sine,0.000012,0.000000,-0.006773,-0.002556,0.000033,0.000000,0.678440,0.255555,0.797126,-0.981829,-7.594752,-0.405101,-0.118307,-0.841356,0.337662,-0.246254,0.054829,-0.303727,-0.091045,0.008913,-0.076964
0.120000,0.120000,sine,0.000025,0.000000,-0.006768,-0.002557,0.000089,0.000000,0.679163,0.255700,0.796439,-0.983260,-7.602492,-0.405241,-0.117825,-0.841759,0.336659,-0.246254,0.054827,-0.303727,-0.091037,0.008914,-0.077003
0.140000,0.140000,sine,0.000046,0.000000,-0.006760,-0.002560,0.000176,0.000000,0.680277,0.255938,0.795748,-0.984689,-7.610232,-0.405381,-0.117343,-0.842160,0.335654,-0.246255,0.054825,-0.303727,-0.091023,0.008914,-0.077064
0.160000,0.160000,sine,0.000078,0.000000,-0.006747,-0.002564,0.000304,0.000000,0.681882,0.256299,0.795054,-0.986117,-7.617974,-0.405519,-0.116863,-0.842560,0.334648,-0.246256,0.054820,-0.303728,-0.091001,0.008914,-0.077154
0.180000,0.180000,sine,0.000124,0.000000,-0.006726,-0.002569,0.000480,0.000000,0.684073,0.256815,0.794357,-0.987542,-7.625713,-0.405657,-0.116383,-0.842961,0.333639,-0.246257,0.054814,-0.303728,-0.090971,0.008914,-0.077278
0.200000,0.200000,sine,0.000187,0.000000,-0.006697,-0.002576,0.000713,0.000000,0.686944,0.257518,0.793656,-0.988967,-7.633454,-0.405794,-0.115904,-0.843361,0.332626,-0.246259,0.054805,-0.303729,-0.090932,0.008912,-0.077442
0.220000,0.220000,sine,0.000271,0.000000,-0.006656,-0.002585,0.001038,0.000000,0.690440,0.258430,0.792952,-0.990389,-7.641194,-0.405929,-0.115428,-0.843761,0.331611,-0.246261,0.054792,-0.303730,-0.090875,0.008910,-0.077670
